id,weight23,E23,inch_norm23,hours_norm23,weight24,E24,inch_norm24,hours_norm24,weight25,E25,inch_norm25,hours_norm25,weight26,E26,inch_norm26,hours_norm26,weight27,E27,inch_norm27,hours_norm27,weight28,E28,inch_norm28,hours_norm28,weight29,E29,inch_norm29,hours_norm29,weight30,E30,inch_norm30,hours_norm30,weight31,E31,inch_norm31,hours_norm31,weight32,E32,inch_norm32,hours_norm32,weight33,E33,inch_norm33,hours_norm33,weight34,E34,inch_norm34,hours_norm34,weight35,E35,inch_norm35,hours_norm35,weight36,E36,inch_norm36,hours_norm36,weight37,E37,inch_norm37,hours_norm37,weight38,E38,inch_norm38,hours_norm38,weight39,E39,inch_norm39,hours_norm39,weight40,E40,inch_norm40,hours_norm40,weight41,E41,inch_norm41,hours_norm41,weight42,E42,inch_norm42,hours_norm42,weight43,E43,inch_norm43,hours_norm43,weight44,E44,inch_norm44,hours_norm44,weight45,E45,inch_norm45,hours_norm45,weight46,E46,inch_norm46,hours_norm46,weight47,E47,inch_norm47,hours_norm47,weight48,E48,inch_norm48,hours_norm48,weight49,E49,inch_norm49,hours_norm49,weight50,E50,inch_norm50,hours_norm50,weight51,E51,inch_norm51,hours_norm51,weight52,E52,inch_norm52,hours_norm52,weight53,E53,inch_norm53,hours_norm53,weight54,E54,inch_norm54,hours_norm54,black
15,812699,1,.0642466,.5048077,811032,1,,.5580357,808062,1,,,802807,0,,,823334,1,.6965179,.4661745,830596,1,.6401314,.4266827,825061,1,.8571302,.3571429,819298,1,,,846905,1,1.176268,.3125,846905,1,,,875520,0,,,875520,0,,,898271,0,,,898271,0,,,919644,0,,,919644,0,,,932208,0,,,932208,0,,,970673,0,,,970673,0,,,959450,0,,,959450,0,,,1030023,0,,,1030023,0,,,1053689,0,,,1053689,0,,,1055211,0,,,1055211,0,,,1081230,0,,,1081230,0,,,,,,,,,,,0
17,949175,1,.6290715,.426511,966428,1,.5387535,.481456,955125,1,.562605,.4344094,959405,1,.6630232,.4017857,988990,1,.5983523,.4268544,971167,1,.5900876,.3715659,1016138,1,.5698272,.4720123,1020458,1,.7323491,.4251373,1007503,1,.7449766,.4517514,997732,1,,,994726,1,.7273548,.1861264,1018132,1,.4141582,.3919986,1021891,1,.4551652,.2769574,1035967,1,.4740354,.3459821,1063024,1,,,1064005,1,.8802662,.2197802,1064005,1,,,1137656,1,.7266638,.2211538,1137656,1,,,1149781,1,.7767002,.546875,1149781,1,,,1182474,1,1.43586,.4464286,1182474,1,,,1286575,1,1.112834,.4464286,1286575,1,,,1330838,1,.9824516,.3303571,1330838,1,,,1325414,1,1.047675,.3392857,1325414,1,,,1295845,1,1.039906,.3303571,1295845,1,,,1492080,1,1.158859,.3392857,0
23,817346,0,,,820145,0,,,800880,0,,,,,,,890847,1,,,890847,1,,,890847,1,,,890847,1,,,890847,1,,,890847,1,1.148678,.4910714,890847,1,.9918075,.4910714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
63,558401,1,.7081586,.1462912,576020,1,.6754157,.3571429,586581,1,.6088092,.4951923,599007,1,.8460791,.5563187,606962,1,,,594035,1,,,594035,1,,,594035,1,,,594035,1,,,594035,1,1.451107,.4017857,594035,1,1.626442,.4077953,608310,1,,,620151,1,1.270198,.5178571,620151,1,,,648290,1,3.043769,.4464286,648290,1,,,666774,1,2.279534,.4464286,666774,1,,,713985,1,2.486337,.4017857,713985,1,,,727403,1,2.153872,.4464286,727403,1,,,756708,1,1.825989,.4464286,756708,1,,,729835,1,1.910958,.4464286,729835,1,,,724894,1,2.198659,.4375,724894,1,,,818938,1,2.422016,.4464286,818938,1,,,815057,1,2.362278,.4017857,815057,1,,,0
69,641684,1,,,641684,1,,,641684,1,,,641684,1,,,641684,1,,,641684,1,1.004392,.3660714,641684,1,1.120749,.3641827,637202,1,,,658673,1,1.21883,.3571429,658673,1,,,680928,1,1.29788,.375,680928,1,,,698623,1,1.734428,.3571429,698623,1,,,715245,1,1.471083,.4017857,715245,1,,,725016,1,1.833913,.4107143,725016,1,,,754933,1,1.950843,.4642857,754933,1,,,746204,1,2.601027,.4017857,746204,1,,,801091,1,2.496699,.4017857,801091,1,,,,,,,819497,1,,,820681,1,2.326066,.3808379,820681,1,,,840917,1,1.989251,.3907967,840917,1,,,860657,1,2.056455,.3801511,860657,1,,,0
101,606933,1,.9078515,.3571429,609012,1,1.348072,.3571429,594706,1,1.515588,.3571429,624009,1,1.564938,.3571429,629297,1,1.654471,.3571429,652455,1,2.076497,.3846154,650063,1,1.217631,.4261676,659976,1,1.083875,.4830014,673069,1,1.014578,.4881525,674060,1,1.093416,.4539835,661512,1,1.21669,.4180975,684150,1,1.130902,.4644574,663582,1,.9494365,.5803571,679102,0,,,715668,1,1.187578,.4642857,715668,1,,,732651,1,1.133103,.5267857,732651,1,,,836164,1,,,836164,1,,,836164,1,,,836164,1,,,836164,1,1.305377,.5892857,836164,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
106,583213,1,.8890269,.3511333,573939,1,.7097669,.4344094,589040,1,.7459309,.4146635,613306,1,.8717771,.4017857,607146,1,.8065981,.4326923,607208,1,.9475323,.439217,614539,1,1.054233,.3959478,613209,1,1.135764,.3811813,614170,1,1.053849,.3588599,615685,1,1.188554,.4464286,616377,1,,,642946,1,1.435511,.3571429,642946,1,,,650182,1,1.417056,.4017857,650182,1,,,715721,1,1.563738,.4017857,715721,1,,,711401,1,1.670508,.4285714,711401,1,,,730357,1,2.086563,.3571429,730357,1,,,766751,1,2.219084,.3571429,766751,1,,,719058,1,2.090111,.3571429,719058,1,,,727567,1,2.116209,.3571429,727567,1,,,729181,1,2.293576,.3571429,729181,1,,,799642,1,2.161484,.3571429,799642,1,,,806053,1,2.281182,.3571429,0
123,495405,1,,,507076,1,.670262,.3571429,507076,1,.6901569,.3571429,519206,1,.7329185,.3571429,505148,1,.7324633,.3571429,523577,1,,,526712,1,,,526712,1,.8530153,.3571429,526712,1,.8857012,.3571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
129,577117,1,.7102407,.4605083,595327,1,.8035215,.4591346,606241,1,.9029525,.470467,619084,1,.7568594,.5508242,627306,1,1.000384,.5187157,625825,1,1.038538,.4800824,637702,1,.965563,.529533,644505,1,.9195269,.5398352,608016,1,.9861526,.5487638,615198,1,1.061767,.5243819,613945,1,1.289358,.4352679,628699,1,,,640937,1,1.212448,.4627404,640937,1,,,670020,1,1.23421,.4464286,670020,1,,,689123,1,,,689123,1,,,737916,1,1.157433,.5178571,737916,1,,,751784,1,,,751784,1,,,782071,1,1.610219,.375,782071,1,,,754297,1,1.719139,.3928571,754297,1,,,749191,1,1.474934,.5357143,749191,1,,,846386,1,1.149846,.5357143,846386,1,,,842376,1,1.417366,.5357143,842376,1,,,0
146,553140,1,,,553140,1,,,551115,0,,,547530,0,,,561530,1,,.0939217,566483,1,.3046396,.2069025,562708,1,.4241629,.4546703,558777,1,,,577606,1,.3525855,.6310096,577606,1,,,597122,1,.5610047,.4910714,597122,1,,,612639,1,.6895475,.3464973,612639,1,,,627216,1,1.20173,.4017857,627216,1,,,635784,1,1.272131,.3571429,635784,1,,,662019,1,1.056707,.3571429,662019,1,,,654364,1,1.254066,.3571429,654364,1,,,702496,1,1.731444,.3571429,702496,1,,,718637,1,1.739879,.3502747,718637,1,,,719675,1,2.000511,.3605769,719675,1,,,,,,,,,,,,,,,,,,,0
