id,weight23,E23,inch_norm23,hours_norm23,weight24,E24,inch_norm24,hours_norm24,weight25,E25,inch_norm25,hours_norm25,weight26,E26,inch_norm26,hours_norm26,weight27,E27,inch_norm27,hours_norm27,weight28,E28,inch_norm28,hours_norm28,weight29,E29,inch_norm29,hours_norm29,weight30,E30,inch_norm30,hours_norm30,weight31,E31,inch_norm31,hours_norm31,weight32,E32,inch_norm32,hours_norm32,weight33,E33,inch_norm33,hours_norm33,weight34,E34,inch_norm34,hours_norm34,weight35,E35,inch_norm35,hours_norm35,weight36,E36,inch_norm36,hours_norm36,weight37,E37,inch_norm37,hours_norm37,weight38,E38,inch_norm38,hours_norm38,weight39,E39,inch_norm39,hours_norm39,weight40,E40,inch_norm40,hours_norm40,weight41,E41,inch_norm41,hours_norm41,weight42,E42,inch_norm42,hours_norm42,weight43,E43,inch_norm43,hours_norm43,weight44,E44,inch_norm44,hours_norm44,weight45,E45,inch_norm45,hours_norm45,weight46,E46,inch_norm46,hours_norm46,weight47,E47,inch_norm47,hours_norm47,weight48,E48,inch_norm48,hours_norm48,weight49,E49,inch_norm49,hours_norm49,weight50,E50,inch_norm50,hours_norm50,weight51,E51,inch_norm51,hours_norm51,weight52,E52,inch_norm52,hours_norm52,weight53,E53,inch_norm53,hours_norm53,weight54,E54,inch_norm54,hours_norm54,black
48,195175,1,.7262812,.3571429,195175,1,.8554031,.3571429,190590,1,,,215704,1,,,215704,1,,,215704,1,,,215704,1,,,215704,1,.9074228,.3571429,215704,1,,,1072302,1,.8760584,.154533,1072302,0,,,1066717,0,,,1150616,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
66,607442,1,,.4574176,608612,1,,.4594781,603644,1,,.4326923,607930,1,,,608726,1,,.3571429,608726,1,,.3743132,629446,1,,.4052198,614304,1,,,652683,1,,.3571429,652683,1,,,679993,0,,,679993,1,,,711860,0,,,711860,1,,,711860,1,,.3571429,711860,1,,,719525,1,,.3571429,719525,1,,,757140,1,.3310165,.5700549,757140,1,,,767736,1,,,767736,1,,,808432,1,,.2541209,808432,1,,,881001,1,,.3863324,881001,0,,,837549,0,,,837549,0,,,812442,0,,,812442,0,,,811049,0,,,811049,0,,,0
81,607154,0,,,608324,0,,,603358,0,,,607642,1,.3727908,.1210508,604095,1,.1925709,.1686126,608437,1,.214673,.1957418,629147,1,.3119564,.1308379,614013,1,,,652373,1,.2404355,.6437157,652373,1,,,679670,1,,.5470467,679670,0,,,689431,0,,,689431,1,,,719184,1,,,719184,1,,,719184,1,.4377789,.7321429,719184,0,,,756780,0,,,756780,1,,,,,,,837152,1,,,837152,1,,,837152,0,,,837152,0,,,837152,1,,,837152,1,.9567224,.3571429,837152,1,,,812057,1,.8084887,.1923077,812057,0,,,,,,,,,,,0
84,176057,0,,,173966,0,,,185192,0,,,178417,0,,,178417,0,,,166884,0,,,166884,0,,,176622,0,,,182497,0,,,178417,0,,,178417,0,,,188371,0,,,188371,0,,,212097,0,,,212097,1,,,189530,1,.1130812,.8834134,189530,0,,,191870,0,,,191870,0,,,175237,0,,,175237,0,,,194950,0,,,194950,0,,,199398,0,,,199398,0,,,199398,0,,,199398,0,,,192437,0,,,192437,0,,,218296,0,,,218296,0,,,,,,,1
93,522604,1,.9118588,.0995879,521532,1,.5530958,.3605769,519623,1,.6325819,.3571429,516243,1,.5970254,.3571429,529443,1,.5727689,.3571429,534113,1,.4742774,.3986951,530553,1,.4857071,.3571429,526847,1,,,544600,1,.476698,.4464286,544600,1,,,563001,1,.822807,.3571429,563001,1,,,577631,1,.9911017,.3571429,577631,1,,,591375,1,1.512522,.4017857,591375,1,,,599454,1,1.660276,.3571429,599454,1,,,624189,1,1.698444,.3571429,624189,1,,,616972,1,2.123287,.3214286,616972,1,,,662354,1,1.635252,.3571429,662354,1,,,677572,1,1.277063,.4464286,677572,1,,,678551,1,.868137,.3571429,678551,1,,,695282,1,1.079643,.3571429,695282,1,,,,,,,,,,,0
119,715515,1,.1017989,.2108517,728521,0,,,720001,0,,,723227,1,.2961959,.3997253,745529,0,,,732094,1,.3595016,.3430632,765994,1,.3700817,.7994505,769251,1,.6055501,.5570055,759485,1,.5333169,.3973214,752120,1,,,749853,1,,,767498,1,.1731728,.3125,770331,1,,.3125,780942,1,.1742748,.2927541,801339,1,,,802078,1,.1236667,.3519917,802078,1,,,857599,1,.5877193,.3125,857599,1,,,866739,1,.8424365,.3571429,866739,1,,,891383,1,.9323764,.3571429,891383,1,,,969858,1,.7777871,.2575549,969858,0,,,1003224,0,,,1003224,1,,,999136,0,,,999136,0,,,976846,0,,,976846,0,,,1124774,0,,,0
206,600152,1,.8922784,.2764423,600152,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723317,1,,,723317,1,,,723317,1,,,723317,1,,,723317,1,,,723317,1,,.3571429,723317,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907693,1,,,907693,1,,,907693,1,,,907693,1,,,907693,1,,,907693,1,.9751617,.3571429,907693,1,,,0
207,598984,1,.2711968,.3537088,600152,1,.5271723,.3571429,623789,1,.4970659,.3914835,613866,1,.5885987,.3811813,611586,1,.9146368,.2730083,623323,1,.6916251,.3425481,615069,1,,.1940247,610890,0,,,617036,1,.5615215,.3270948,637476,1,,,651139,1,.7153909,.2704327,651139,0,,,686276,0,,,686276,1,,,723317,1,.550612,.4017857,723317,1,,,758257,1,,.3571429,758257,1,,,804305,1,.7403935,.3571429,804305,1,,,792039,1,.6762922,.3571429,792039,1,,,768740,1,.5971745,.3571429,768740,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
241,165278,1,.3667671,.5305632,164939,1,.4314058,.3178228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
267,616278,0,,,614511,0,,,600183,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784534,0,,,784534,0,,,784534,0,,,784534,0,,,784534,0,,,784534,0,,,784534,0,,,745149,0,,,745149,0,,,0
