id,weight23,E23,inch_norm23,hours_norm23,weight24,E24,inch_norm24,hours_norm24,weight25,E25,inch_norm25,hours_norm25,weight26,E26,inch_norm26,hours_norm26,weight27,E27,inch_norm27,hours_norm27,weight28,E28,inch_norm28,hours_norm28,weight29,E29,inch_norm29,hours_norm29,weight30,E30,inch_norm30,hours_norm30,weight31,E31,inch_norm31,hours_norm31,weight32,E32,inch_norm32,hours_norm32,weight33,E33,inch_norm33,hours_norm33,weight34,E34,inch_norm34,hours_norm34,weight35,E35,inch_norm35,hours_norm35,weight36,E36,inch_norm36,hours_norm36,weight37,E37,inch_norm37,hours_norm37,weight38,E38,inch_norm38,hours_norm38,weight39,E39,inch_norm39,hours_norm39,weight40,E40,inch_norm40,hours_norm40,weight41,E41,inch_norm41,hours_norm41,weight42,E42,inch_norm42,hours_norm42,weight43,E43,inch_norm43,hours_norm43,weight44,E44,inch_norm44,hours_norm44,weight45,E45,inch_norm45,hours_norm45,weight46,E46,inch_norm46,hours_norm46,weight47,E47,inch_norm47,hours_norm47,weight48,E48,inch_norm48,hours_norm48,weight49,E49,inch_norm49,hours_norm49,weight50,E50,inch_norm50,hours_norm50,weight51,E51,inch_norm51,hours_norm51,weight52,E52,inch_norm52,hours_norm52,weight53,E53,inch_norm53,hours_norm53,weight54,E54,inch_norm54,hours_norm54,black
34,713613,1,.4032963,.4301167,716056,1,.6843224,.4464286,699236,1,1.341457,.4035027,733690,1,.8366887,.4409341,739907,1,.6587648,.4160371,767136,1,1.129655,.3571429,764323,1,1.162369,.3571429,775979,1,1.015298,.4910714,791373,1,.1434958,.4143201,792538,1,1.386168,.3662431,777785,1,1.115192,.4076236,804402,1,1.124281,.4017857,780219,1,1.066651,.4017857,798467,1,,,841459,0,,,841459,1,,,861428,1,.7999512,.4017857,861428,0,,,910015,1,.6547388,.4730426,910015,1,,,947390,1,.408937,.5089286,947390,1,,,983135,1,.3589787,.6696429,983135,1,,,987894,1,4.300849,.4910714,987894,1,,,956941,1,.0554519,.4615385,956941,1,,,1046627,1,.3297988,.625,1046627,1,,,1104452,0,,,1104452,1,,,0
83,171412,1,.210844,.3509615,174393,1,.1856544,.3502747,173889,1,.268474,.3571429,176439,1,.1864827,.3605769,189798,1,,.3887362,180488,0,,,182126,0,,,182679,0,,,179948,0,,,179948,1,,.3571429,179948,0,,,188988,0,,,184357,0,,,184357,0,,,203011,0,,,203011,0,,,199568,0,,,199568,0,,,207593,0,,,207593,0,,,245732,0,,,245732,0,,,218543,0,,,218543,0,,,214547,0,,,214547,0,,,220551,0,,,220551,0,,,220551,0,,,220551,0,,,220551,0,,,220551,0,,,1
85,213828,0,,,210070,0,,,213019,1,.1559228,.1820055,223174,1,.1729202,.206044,228153,1,,,221616,1,,,221616,0,,,212313,0,,,225416,0,,,233143,0,,,235094,0,,,229947,0,,,227234,0,,,262163,0,,,262163,0,,,262163,0,,,262163,0,,,268212,1,,,268212,1,,,273177,1,,.375,273177,1,,,278231,1,,.3159341,278231,0,,,258914,0,,,258914,0,,,266093,0,,,266093,0,,,281004,0,,,281004,0,,,281281,0,,,281281,0,,,278545,0,,,1
222,222412,0,,,234662,0,,,242595,0,,,253418,1,.5861444,.2213255,242860,1,.0991719,.2513736,243729,0,,,262009,1,,,248621,1,.8151062,.1991758,230532,1,.2039393,.3090659,234500,0,,,230532,1,,,246373,0,,,246373,0,,,255139,0,,,255139,0,,,279250,0,,,279250,0,,,280328,0,,,280328,0,,,317818,0,,,317818,0,,,317818,0,,,317818,0,,,336924,0,,,336924,0,,,315427,0,,,315427,0,,,331696,0,,,331696,0,,,366708,0,,,366708,0,,,359754,0,,,1
225,181171,1,.7019026,.1071429,185106,1,.8313473,.1071429,203299,1,.7832274,.1071429,208676,1,.6898823,.2726648,193992,1,.4990826,.3571429,194879,1,.4761011,.3571429,195595,1,.4580353,.3571429,197591,1,.4333648,.3571429,197958,1,.3976816,.3777473,203441,1,.4300209,.3811813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
248,177419,0,,,174598,1,.2186557,.3760302,179191,1,.1943492,.3459821,186574,1,.3102255,.4599931,184700,1,.3552716,.4210165,184719,1,.3280314,.3262362,186949,1,.4030944,.2798764,581398,1,.2310179,.3279533,581398,1,.5299211,.2180632,552769,1,.48285,.2747253,552769,1,,,574531,1,.4024074,.4326923,574531,1,,,626866,0,,,626866,1,,,625309,1,.2147387,.3708791,625309,0,,,575973,1,.4681173,.2489698,575973,0,,,674823,0,,,674823,0,,,654890,1,.0915812,.1648352,654890,0,,,645936,1,.5407882,.2103365,645936,1,,,661248,1,.4391955,.2815934,661248,0,,,673495,0,,,673495,0,,,692582,0,,,692582,0,,,687916,0,,,0
315,720347,1,.4212071,.2463942,718869,0,,,716237,0,,,711578,0,,,729773,0,,,736210,0,,,731304,0,,,726195,0,,,750666,0,,,750666,1,,,776029,1,.8913742,.1339286,776029,0,,,796195,0,,,796195,0,,,815139,0,,,815139,0,,,826275,0,,,826275,0,,,860369,0,,,860369,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
337,182208,1,,,192279,1,,,186509,0,,,186877,0,,,188363,0,,,187617,1,.2147005,.3131868,198937,0,,,196992,1,,.3605769,194467,1,.2415735,.4429945,196177,1,.6896452,.3598901,201279,1,.2587639,.4182692,197608,1,.2701183,.388908,196992,1,.4746621,.2149725,202461,0,,,198643,0,,,198643,0,,,210555,0,,,210555,0,,,221473,0,,,221473,0,,,230460,0,,,230460,0,,,228087,0,,,228087,1,,,,,,,,,,,,,,,,,,,244200,0,,,244200,1,,,250737,0,,,250737,0,,,1
380,217146,0,,,217408,0,,,222775,1,.6843224,.4464286,219656,1,1.125866,.4807692,224857,1,.7416329,.5357143,223881,1,.4534622,.4532967,239321,1,.2485121,.6493818,241080,0,,,237588,0,,,238373,0,,,241564,0,,,247189,1,.3197421,.4739011,246514,0,,,256866,1,,.4721841,248551,1,,,250797,1,.3466894,.4464286,250797,0,,,263621,0,,,263621,0,,,267572,0,,,267572,1,,,270996,1,.2486337,.4017857,270996,1,,,,,,,,,,,264082,1,.2958778,.3571429,264082,1,,,266637,1,.4180221,.3571429,266637,1,,,278210,1,.2693357,.5357143,278210,0,,,282307,0,,,1
387,203439,1,.3765517,.3571429,202588,1,.5036935,.3090659,201394,1,.2056825,.206044,206630,1,.4073593,.2918956,214280,1,.3474751,.3571429,214712,1,.5103212,.2651099,209722,0,,,204566,1,.2333112,.3061469,207273,1,,,209475,0,,,209475,1,,,222518,0,,,222518,1,,,235849,1,,.2403846,235849,1,,,,,,,,,,,,,,,,,,,251443,0,,,251443,0,,,239155,1,,.1428571,239155,0,,,242024,0,,,242024,0,,,262078,0,,,262078,0,,,258400,0,,,258400,0,,,279105,0,,,279105,0,,,262428,0,,,1
