id,weight23,E23,inch_norm23,hours_norm23,weight24,E24,inch_norm24,hours_norm24,weight25,E25,inch_norm25,hours_norm25,weight26,E26,inch_norm26,hours_norm26,weight27,E27,inch_norm27,hours_norm27,weight28,E28,inch_norm28,hours_norm28,weight29,E29,inch_norm29,hours_norm29,weight30,E30,inch_norm30,hours_norm30,weight31,E31,inch_norm31,hours_norm31,weight32,E32,inch_norm32,hours_norm32,weight33,E33,inch_norm33,hours_norm33,weight34,E34,inch_norm34,hours_norm34,weight35,E35,inch_norm35,hours_norm35,weight36,E36,inch_norm36,hours_norm36,weight37,E37,inch_norm37,hours_norm37,weight38,E38,inch_norm38,hours_norm38,weight39,E39,inch_norm39,hours_norm39,weight40,E40,inch_norm40,hours_norm40,weight41,E41,inch_norm41,hours_norm41,weight42,E42,inch_norm42,hours_norm42,weight43,E43,inch_norm43,hours_norm43,weight44,E44,inch_norm44,hours_norm44,weight45,E45,inch_norm45,hours_norm45,weight46,E46,inch_norm46,hours_norm46,weight47,E47,inch_norm47,hours_norm47,weight48,E48,inch_norm48,hours_norm48,weight49,E49,inch_norm49,hours_norm49,weight50,E50,inch_norm50,hours_norm50,weight51,E51,inch_norm51,hours_norm51,weight52,E52,inch_norm52,hours_norm52,weight53,E53,inch_norm53,hours_norm53,weight54,E54,inch_norm54,hours_norm54,black
5,792597,0,,,788035,0,,,809316,0,,,837063,1,1.203251,.4910714,837063,1,,,850859,1,1.45809,.5082418,850859,1,1.603341,.4884959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
6,652708,1,.5999514,.1480082,673302,1,.5236537,.3468406,685646,1,.6060992,.364011,700171,1,.677793,.3571429,709469,1,.7264809,.3571429,707795,1,.7678193,.3571429,721228,1,.7657571,.3571429,728922,1,.7897162,.3571429,687653,1,.787936,.3571429,695775,1,.823601,.3571429,694359,1,.9110377,.364011,711045,1,,,724886,1,.8028486,.4217033,724886,1,,,779383,1,,,779383,1,,,779383,1,.9911017,.3571429,779383,1,,,834568,1,1.013959,.3571429,834568,1,,,850251,1,1.179203,.3839286,850251,1,,,884505,1,1.365839,.3592033,884505,1,,,853093,1,1.521689,.4017857,853093,1,,,847319,1,1.737215,.3571429,847319,1,,,957245,1,1.926603,.3571429,957245,1,,,952709,1,1.984313,.3571429,952709,1,,,0
18,910757,1,.6693045,.3633242,913876,1,.604941,.4292583,892409,1,.8709885,.424794,936381,1,1.049607,.4055632,944315,1,1.1395,.4017857,979066,1,.9371952,.4017857,975477,1,1.844422,.4017857,990352,1,1.949361,.4017857,1009999,1,2.198366,.4017857,1011486,1,2.287888,.4017857,992657,1,2.558933,.3820398,1026627,1,2.969317,.3571429,995763,1,3.074302,.3373969,1019052,1,,,1073922,1,1.926052,.4017857,1073922,1,,,1099407,1,1.902741,.3571429,1099407,1,,,1161417,1,2.973305,.3571429,1161417,1,,,1209118,1,8.149661,.2410714,1209118,1,,,1254737,1,1.940425,.3303571,1254737,1,,,1260811,1,2.536096,.3571429,1260811,1,,,1221307,1,2.875284,.2472527,1221307,1,,,1335770,1,1.154296,.3571429,1335770,1,,,1409569,1,3.145475,.3125,1409569,1,,,0
26,595441,1,,,596602,0,,,620098,0,,,610234,1,,,607968,1,,,619636,1,,,,,,,,,,,613385,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781924,1,,,781924,1,,,781924,1,,,781924,1,,,781924,1,,,781924,1,2.436847,.2678571,781924,1,,,823339,1,3.853207,.1785714,823339,1,,,,,,,,,,,,,,,,,,,0
59,641051,1,.6415522,.3571429,637362,1,.6630232,.3571429,654574,1,.6424395,.3571429,665607,1,.7673976,.3571429,677017,1,.7982895,.3571429,701488,1,.8310941,.3571429,688175,1,.9074228,.3571429,697266,1,.932226,.3571429,723620,1,.9160707,.3571429,717432,1,.8182412,.3571429,716596,1,.8530153,.3571429,734129,1,.8285591,.3571429,733472,1,,,757522,1,.8125533,.3571429,757522,1,,,815793,1,1.079934,.3571429,815793,1,,,815943,1,.7681039,.3571429,815943,1,,,877534,1,,.3571429,877534,1,,,867549,1,.9871913,.3571429,867549,1,,,891594,1,,.3571429,891594,1,,,853327,1,.869486,.3571429,853327,1,,,892454,1,.8281615,.375,892454,1,,,893230,1,.8256872,.3571429,893230,1,,,900713,1,,.3571429,0
64,638196,1,.6095275,.2211538,628048,1,.8915794,.1583104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
67,699252,1,1.074939,.4369849,701646,1,.9912899,.3004808,685165,0,,,718925,0,,,748942,1,,,748942,1,1.277844,.625,748942,1,1.1857,.625,760363,1,,.5546016,775448,1,2.729007,.3236607,776589,1,2.690281,.3416896,762133,1,2.623791,.3725962,788214,1,1.715605,.6181318,764518,1,1.737918,.5968407,782399,1,,,824526,1,2.853347,.470467,824526,1,,,928325,1,,,928325,1,,,928325,1,,,928325,1,,,928325,1,4.000742,.4910714,928325,1,,,968014,1,,,968014,1,,,968014,1,,.5357143,968014,1,,,937684,1,3.390565,.6454327,937684,1,,,1025565,1,4.621978,.4642857,1025565,1,,,1082226,1,4.588219,.4910714,1082226,1,,,0
71,589907,0,,,599489,0,,,591945,0,,,595903,1,,.3834135,606506,1,2.103599,.4369849,607875,1,2.347887,.4163805,607613,1,2.146743,.4939904,606179,1,,,633933,1,,,633933,1,2.505824,.5357143,633933,1,,,645081,1,2.341361,.5803571,645081,1,,,658921,1,,.5089286,658921,1,,,,,,,,,,,,,,,734376,1,,,734376,1,,,734376,1,,,734376,1,,,734376,1,,,734376,1,,.3571429,734376,1,,,752967,1,,,752967,1,,,752967,1,,.4464286,752967,1,,,,,,,,,,,,,,,0
79,558136,0,,,575747,0,,,586303,1,.774848,.3537088,598723,1,1.063968,.4251373,606674,1,1.79085,.4138049,605242,1,1.949361,.4017857,616729,1,2.080978,.4244505,623308,1,1.959612,.4690934,588019,1,2.023321,.4831731,594964,1,2.240994,.4732143,593753,1,2.227509,.4656594,608022,1,,,619857,0,,,619857,1,,,647983,1,3.043769,.4464286,647983,1,,,666458,1,4.042948,.4732143,666458,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
108,628939,1,.2469052,.3282967,627136,1,.556012,.2472527,612514,1,.556084,.2129121,633145,1,.3718759,.206044,676350,1,.2902158,.3777473,640962,1,.5274259,.2549794,687872,1,1.092723,.207761,706138,1,.4208338,.2961882,688306,1,.6890654,.2760989,705681,1,.5607771,.2414148,670681,1,.7203986,.2403846,709897,1,.5882865,.3571429,682681,1,.6095148,.3348214,682681,1,,,725812,1,.3250213,.4464286,725812,1,,,715124,1,,.4464286,715124,1,,,792927,1,.9911017,.4464286,792927,1,,,818372,1,1.771515,.4464286,818372,1,,,770968,1,1.256425,.4464286,770968,1,,,861988,1,,.3571429,861988,1,,,857806,1,1.393407,.3571429,857806,1,,,800653,1,1.250487,.3571429,800653,1,,,760459,1,.880733,.4464286,760459,1,,,0
117,665766,1,.6843224,.4464286,661934,1,.8619302,.4464286,679810,1,.8048062,.4601648,691267,1,.800495,.5135645,703117,1,.8964831,.4500344,728531,1,.9889269,.4591346,714705,1,1.057192,.4598214,724146,1,1.065401,.4464286,751516,1,1.061378,.4464286,745090,1,1.018256,.4464286,744222,1,1.035384,.4464286,762431,1,1.234267,.4464286,761749,1,,,786726,1,1.343421,.4464286,786726,1,,,847244,1,,.4464286,847244,1,,,847400,1,1.110034,.4464286,847400,1,,,911365,1,.9696715,.4464286,911365,1,,,900994,1,1.112834,.4464286,900994,1,,,925967,1,1.403306,.4464286,925967,1,,,886224,1,.8847029,.4017857,886224,1,,,926860,1,,,926860,1,,,927665,1,.9174302,.3571429,927665,1,,,935437,1,.7972686,.3571429,0
120,500159,1,.501441,.6832075,501134,1,1.069031,.7470811,520871,1,1.209627,.6126374,512585,1,1.244953,.6291209,510681,1,1.230959,.7175481,520482,1,1.238699,.7421017,513590,1,1.32564,.7374657,510100,1,1.476848,.7180632,515232,1,1.544224,.6717033,532299,1,,,543708,1,2.722204,.4931319,543708,1,,,573049,1,2.17412,.625,573049,1,,,603978,1,.9911018,.5357143,603978,1,,,633153,1,2.200408,.8928571,633153,1,,,671604,1,2.651785,.8035714,671604,1,,,661361,1,1.690731,.6696429,661361,1,,,641907,1,4.901974,.4464286,641907,1,,,656801,1,1.128645,.6696429,656801,1,,,691589,1,.0275229,.7142857,691589,1,,,745690,1,.9232115,.8224588,745690,1,,,757934,1,.7522386,.8267514,757934,1,,,0
162,527670,1,.5843168,.3399725,519279,1,.6711572,.4696085,532942,1,.8638538,.467033,554896,1,1.02721,.4799107,549323,1,1.683213,.4653159,549379,1,1.648775,.5357143,556012,1,1.761072,.521978,554809,1,1.33343,.4464286,555678,1,2.375453,.4464286,557049,1,2.323463,.4464286,557675,1,,,581714,1,1.418275,.4910714,581714,1,,,588260,1,1.66847,.4017857,588260,1,,,647558,1,1.808761,.3571429,647558,1,,,643649,1,1.818134,.3571429,643649,1,,,660800,1,1.382068,.4464286,660800,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
196,564079,1,1.017073,.3571429,565167,1,1.209897,.2472527,560553,1,.6925108,.206044,564533,1,.8624679,.2877747,561237,1,,.4948489,565272,1,1.068069,.4524382,584512,1,1.059632,.4622253,570452,1,,,606091,1,1.458429,.4642857,606091,1,,,631451,1,1.913026,.4464286,631451,1,,,640520,1,2.329089,.3571429,640520,1,,,661044,1,4.889796,.4017857,661044,1,,,668161,1,2.423106,.4464286,668161,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753152,1,,,753152,1,,,753152,1,,,753152,1,,,753152,1,,,753152,1,2.132811,.5357143,753152,1,,,0
213,459020,1,.7207025,.2833104,474708,1,.894236,.4361264,469834,1,.9846638,.3425481,481073,1,.7290406,.4017857,468047,1,.9119483,.417239,485123,1,.987361,.4399038,475062,1,.9306331,.4361264,476830,1,.9619074,.4696085,488028,1,1.74,.3811813,474476,1,,,508524,1,,.2678571,508524,1,,,500090,1,2.879824,.2232143,500090,1,,,556106,1,.9911018,.1339286,556106,1,,,571136,1,,.2235577,571136,1,,,568825,0,,,568825,1,,,590449,1,1.207665,.3125,590449,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
342,448197,1,.9903308,.3571429,455477,1,1.307666,.2678571,449745,1,1.194671,.354739,452753,1,1.322382,.3416896,460809,1,1.295135,.3571429,461849,1,1.33343,.3571429,461650,1,1.411888,.3571429,460560,1,1.42855,.3571429,460708,1,,,481647,1,1.462596,.3571429,481647,1,,,490118,1,1.465625,.3571429,490118,1,,,500633,1,1.585763,.3571429,500633,1,,,527295,1,1.631659,.3571429,527295,1,,,541739,1,1.862202,.3571429,541739,1,,,558315,1,2.028877,.3571429,558315,1,,,534283,1,1.891052,.3571429,534283,1,,,557962,1,1.923827,.3571429,557962,1,,,555189,1,1.963301,.3571429,555189,1,,,572087,1,1.742389,.3631525,572087,1,,,554649,1,2.232063,.3064904,554649,1,,,,,,,0
