id,weight23,E23,inch_norm23,hours_norm23,weight24,E24,inch_norm24,hours_norm24,weight25,E25,inch_norm25,hours_norm25,weight26,E26,inch_norm26,hours_norm26,weight27,E27,inch_norm27,hours_norm27,weight28,E28,inch_norm28,hours_norm28,weight29,E29,inch_norm29,hours_norm29,weight30,E30,inch_norm30,hours_norm30,weight31,E31,inch_norm31,hours_norm31,weight32,E32,inch_norm32,hours_norm32,weight33,E33,inch_norm33,hours_norm33,weight34,E34,inch_norm34,hours_norm34,weight35,E35,inch_norm35,hours_norm35,weight36,E36,inch_norm36,hours_norm36,weight37,E37,inch_norm37,hours_norm37,weight38,E38,inch_norm38,hours_norm38,weight39,E39,inch_norm39,hours_norm39,weight40,E40,inch_norm40,hours_norm40,weight41,E41,inch_norm41,hours_norm41,weight42,E42,inch_norm42,hours_norm42,weight43,E43,inch_norm43,hours_norm43,weight44,E44,inch_norm44,hours_norm44,weight45,E45,inch_norm45,hours_norm45,weight46,E46,inch_norm46,hours_norm46,weight47,E47,inch_norm47,hours_norm47,weight48,E48,inch_norm48,hours_norm48,weight49,E49,inch_norm49,hours_norm49,weight50,E50,inch_norm50,hours_norm50,weight51,E51,inch_norm51,hours_norm51,weight52,E52,inch_norm52,hours_norm52,weight53,E53,inch_norm53,hours_norm53,weight54,E54,inch_norm54,hours_norm54,black
7,738817,1,,,737302,1,,,734602,1,,,729824,1,.1842179,.0918613,748485,0,,,755087,0,,,750055,1,.7428462,.3708791,744816,1,,,769914,1,.5778157,.4285714,769914,1,,,795927,1,.5742506,.4285714,795927,1,,,816610,1,.563126,.3928571,816610,1,,,836040,1,.5827353,.3928571,836040,1,,,,,,,,,,,882430,0,,,882430,1,,,872227,1,.9344675,.2472527,872227,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
45,702180,1,.5164016,.3904533,698139,1,.6733829,.3626373,716992,1,.7317003,.3296703,729077,1,.7962837,.3786058,741575,1,.6754607,.4380151,768379,1,1.003865,.4910714,753797,1,.9924937,.4395604,763755,1,1.032058,.4608516,792622,1,.9733982,.3708791,785844,1,.8207666,.3296703,784929,1,,.4696085,804133,1,.3975096,.5133929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
76,607154,1,.3922997,.4464286,608324,1,.4664664,.4275412,603358,1,1.531514,.3571429,607642,1,.8213049,.3571429,604095,1,.7125682,.3949176,608437,1,.564755,.4464286,629147,1,.5485633,.4464286,614013,1,,,652373,1,.6500427,.3571429,652373,1,,,679670,1,.6685307,.3571429,679670,1,,,689431,1,.7433264,.3571429,689431,1,,,711522,1,.7153315,.418956,711522,1,,,719184,1,.8433755,.3571429,719184,1,,,756780,1,.7819629,.3571429,756780,1,,,767372,1,.9952908,.3571429,767372,1,,,808049,1,1.346678,.3571429,808049,1,,,880584,1,.7339442,.625,880584,1,,,837152,1,.6074428,.625,837152,1,,,812057,1,1.276997,.5357143,812057,1,,,,,,,,,,,0
122,626608,1,.4028368,.7396978,616644,1,.5140855,.7063874,632868,1,.6024827,.5803571,658939,1,.6012256,.6473214,652321,1,.6081159,.6559066,652387,1,.6837201,.6086882,660264,1,,.5649039,658835,1,1.297014,.417239,659867,1,.5098482,.5357143,661496,1,.8899321,.5159684,662238,1,,,690785,0,,,690785,0,,,698559,0,,,698559,1,,,764333,0,,,764333,0,,,764333,1,.834126,.3992102,764333,1,,,784700,1,1.380687,.5803571,784700,1,,,823802,1,,.4642857,823802,1,,,772559,1,.0272395,.3914835,772559,1,,,781702,1,.428249,.4010989,781702,1,,,783436,1,.7863687,.625,783436,1,,,859139,1,.9609265,.6584821,859139,1,,,866028,1,1.141396,.4086538,0
134,562952,1,.6859372,.4344094,526541,1,.9280156,.3691621,588948,1,,,577456,1,1.059168,.3674451,577456,1,1.005455,.3719094,584512,1,1.255015,.3695055,599155,1,1.17772,.364011,584688,1,1.646433,.3681319,574047,1,1.16632,.3152473,574047,1,2.588314,.2463942,584688,1,,,612771,1,1.280387,.5666209,612771,1,,,655580,1,1.122009,.4910714,655580,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
155,487743,1,.405941,.5631868,495666,1,.2704301,.6236264,489428,1,.4710062,.4234203,492701,1,1.662026,.2575549,501468,1,1.297022,.3305288,502599,1,.6520849,.4730426,502383,1,.2683412,.3914835,501197,1,.8725859,.4443681,501359,1,,,524145,1,.6438518,.4507212,524145,1,,,533363,1,.5289474,.625,533363,1,,,544806,1,.5907266,.6141827,544806,1,,,573820,1,1.002305,.3571429,573820,1,,,589539,1,.7179573,.6696429,589539,1,,,607193,1,,,607193,1,,,607193,1,,,607193,1,,,607193,1,1.267356,.2927541,607193,1,,,604176,1,.763302,.0858517,604176,0,,,603588,1,,,603588,1,,,603588,0,,,603588,0,,,,,,,0
177,484869,1,.4177368,.4251373,500167,1,.3922742,.6510989,509337,1,.5535327,.2723214,520127,1,.7289344,.5350274,527034,1,.8378931,.5418956,525790,1,.5750462,.5418956,535769,1,.7021655,.5418956,541485,1,1.031536,.5030907,510828,1,.8708766,.521978,516862,1,.8944706,.5872253,515809,1,,,562921,1,,,562921,1,,,562921,1,,,562921,1,1.028509,.5357143,562921,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
209,501397,1,.8287791,.3571429,517217,1,.9061304,.3914835,526700,1,.7917594,.4326923,537858,1,.8502678,.4112294,545001,1,1.0567,.3683036,543715,1,1.047026,.3571429,554034,1,.9072194,.3932005,559944,0,,,528242,1,,.326408,534482,1,.4506308,.6061126,533393,1,.8399674,.2429602,546212,1,,,556844,1,.7222697,.5357143,556844,1,,,582111,1,.5064626,.4532967,582111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
247,188506,1,.1435958,.2625344,187421,1,.2044103,.3475275,192483,1,.3904209,.2180632,195727,1,.3627698,.2644231,199082,1,.5540515,.2669986,206278,1,.7256601,.3039148,202363,1,.9148003,.4223901,205037,1,.7198632,.5125343,212786,1,.7276353,.5194024,923073,1,.7550482,.4739011,923073,1,.8082732,.4678915,959510,1,.6985468,.4981112,959510,1,,,926985,1,.9317279,.4464286,926985,1,,,1056852,1,.9256578,.4464286,1056852,1,,,930283,1,.9911018,.4910714,930283,1,,,1220747,1,1.018442,.5803571,1220747,1,,,931255,1,1.219032,.5357143,931255,1,,,1010636,1,1.113064,.5357143,1010636,1,,,968973,1,1.340325,.5357143,968973,1,,,1014627,1,1.717702,.5,1014627,1,,,803113,1,1.590212,.5357143,803113,1,,,930306,1,1.214886,.625,0
263,456149,1,.6595814,.4155219,457039,1,.7531033,.3571429,475039,1,.6538329,.3571429,467482,1,.7678193,.3571429,465746,1,1.34406,.3715659,474684,1,.8097371,.3901099,468399,1,.7727833,.3571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
