id,weight23,E23,inch_norm23,hours_norm23,weight24,E24,inch_norm24,hours_norm24,weight25,E25,inch_norm25,hours_norm25,weight26,E26,inch_norm26,hours_norm26,weight27,E27,inch_norm27,hours_norm27,weight28,E28,inch_norm28,hours_norm28,weight29,E29,inch_norm29,hours_norm29,weight30,E30,inch_norm30,hours_norm30,weight31,E31,inch_norm31,hours_norm31,weight32,E32,inch_norm32,hours_norm32,weight33,E33,inch_norm33,hours_norm33,weight34,E34,inch_norm34,hours_norm34,weight35,E35,inch_norm35,hours_norm35,weight36,E36,inch_norm36,hours_norm36,weight37,E37,inch_norm37,hours_norm37,weight38,E38,inch_norm38,hours_norm38,weight39,E39,inch_norm39,hours_norm39,weight40,E40,inch_norm40,hours_norm40,weight41,E41,inch_norm41,hours_norm41,weight42,E42,inch_norm42,hours_norm42,weight43,E43,inch_norm43,hours_norm43,weight44,E44,inch_norm44,hours_norm44,weight45,E45,inch_norm45,hours_norm45,weight46,E46,inch_norm46,hours_norm46,weight47,E47,inch_norm47,hours_norm47,weight48,E48,inch_norm48,hours_norm48,weight49,E49,inch_norm49,hours_norm49,weight50,E50,inch_norm50,hours_norm50,weight51,E51,inch_norm51,hours_norm51,weight52,E52,inch_norm52,hours_norm52,weight53,E53,inch_norm53,hours_norm53,weight54,E54,inch_norm54,hours_norm54,black
40,151177,1,.5797737,.3828984,155947,0,,,,,,,,,,,164324,0,,,163937,0,,,167048,1,.0249703,.3571429,168830,1,.1265632,.3119849,,,,,,,,,489093,1,,,489093,1,,,542858,1,.0429922,.5625,542858,1,,,522478,1,,.3839286,522478,1,,,578891,1,,.4017857,578891,1,,,603033,1,.0335236,.3973214,603033,1,,,609392,1,.0120632,.4649725,609392,1,,,578474,1,,.4375,578474,1,,,581289,1,,.3839286,581289,1,,,563856,0,,,563856,0,,,,,,,782116,1,,,905984,1,.2303221,.4120879,905984,1,,,0
125,746147,1,.4041242,.3983516,744975,1,.4017725,.4035027,761318,1,.4157099,.3674451,761318,1,.2900727,.3571429,794031,1,,.3746566,833570,1,.4636484,.4433379,856139,1,,,873936,0,,,873936,0,,,873936,0,,,874474,1,.3790638,.3571429,856011,1,.3364851,.385989,856011,1,.3518891,.4478022,814567,1,.9774292,.3914835,834282,1,,,833299,0,,,833299,0,,,899030,0,,,899030,0,,,923225,0,,,923225,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
127,548262,0,,,565561,1,.1920821,.1847527,575929,0,,,588130,0,,,577615,0,,,577615,0,,,577615,0,,,577615,0,,,577615,0,,,584438,0,,,583248,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
135,532680,1,.1816202,.3571429,533707,1,.7875745,.364011,529350,1,.6713114,.3365385,533109,1,.7265388,.3571429,529996,1,.8629775,.2884615,533807,1,.9706726,.3571429,551976,1,1.148035,.3021978,538698,1,,,572353,1,.8667236,.3571429,572353,1,,,596302,1,.9256578,.3571429,596302,1,,,604866,1,,.3571429,604866,1,,,624247,1,.0016317,.3571429,624247,1,,,630969,1,1.413478,.3571429,630969,1,,,673246,1,,,673246,1,,,673246,1,1.592465,.3571429,673246,1,,,708934,1,1.731444,.3571429,708934,1,,,772571,1,1.467888,.3571429,772571,1,,,734467,1,1.417367,.3571429,734467,1,,,712450,1,1.74136,.3571429,712450,1,,,,,,,,,,,0
150,594624,1,.381392,.3444368,591201,1,.3540239,.3135302,607167,1,.2541624,.5861951,617400,1,.3616615,.6744505,627983,1,.3622427,.6868132,650682,1,.2724303,.8571429,638333,1,.4230929,.5597528,646766,1,.8518981,.3028846,671211,1,.803625,.3509615,665472,1,.6489714,.3835852,664696,1,.4734305,.5769231,680959,1,.4752695,.5367445,680350,1,,,702658,1,.3729941,.6483517,702658,1,,,756709,1,,,756709,1,,,756848,1,.3753417,.6129808,756848,0,,,813978,0,,,813978,0,,,804716,0,,,804716,0,,,827020,0,,,827020,0,,,791524,0,,,791524,0,,,827818,0,,,827818,0,,,,,,,,,,,,,,,0
230,597429,1,.3004989,.1208791,596204,1,.1951447,.1277473,594021,1,.7330002,.3406594,590157,1,.5528013,.3571429,605247,1,.5454941,.3571429,610586,1,.5891579,.3476992,606517,1,.5768377,.3803228,602280,1,,,622575,1,.7463453,.4017857,622575,1,,,643610,1,.6399609,.4017857,643610,1,,,660335,1,.6894621,.4107143,660335,1,,,676046,1,.878615,.4168956,676046,1,,,685282,1,.8974466,.4464286,685282,1,,,713559,1,.8772658,.4732143,713559,1,,,705309,1,1.035102,.4464286,705309,1,,,757188,1,1.209262,.4375,757188,1,,,774585,1,.9785923,.5357143,774585,1,,,775704,1,1.259881,.4017857,775704,1,,,794831,1,1.212395,.4103709,794831,1,,,,,,,,,,,0
233,597429,1,.5085366,.3571429,596204,1,.5501848,.4077953,594021,1,.379458,.3760302,590157,1,.3787836,.3871909,605247,1,.393968,.3571429,610586,1,.5882865,.3571429,606517,1,.6571331,.3571429,602280,1,,,622575,1,.8294063,.3090659,622575,1,,,643610,1,.9359429,.2747253,643610,1,,,660335,1,.817659,.3571429,660335,1,,,676046,1,.909067,.3571429,676046,1,,,685282,1,1.076936,.3571429,685282,1,,,713559,1,.824231,.3571429,713559,1,,,705309,1,.7365152,.3571429,705309,1,,,757188,1,1.058105,.3571429,757188,1,,,774585,1,1.192659,.3571429,774585,1,,,775704,1,.8858541,.3571429,775704,1,,,794831,1,.8706801,.3571429,794831,1,,,,,,,,,,,0
234,157706,0,,,155198,1,.3297582,.3490728,159281,1,.301109,.7815934,165843,1,.2925802,.4739011,164177,1,,,166177,1,.6366498,.5789835,166177,1,.3046999,.8145604,516798,1,.2447006,.6634616,516798,1,.6174309,.5614698,491350,1,.3691161,.8293269,491350,1,,,510694,1,.3873171,.5494505,510694,1,,,555830,1,,,555830,1,,,555830,1,2.040726,.9375,555830,1,,,511976,1,.5011523,.7142857,511976,1,,,582124,1,,,582124,1,,,582124,1,,,582124,1,,,574165,1,,,574165,1,,,587776,1,.6805372,.7572116,587776,1,,,598662,1,1.134799,.548592,598662,1,,,615628,1,.6849173,.8499313,615628,1,,,611481,1,.3314275,.6567651,0
253,645920,0,,,647165,1,.4028204,.231456,641882,1,.3731644,.2403846,646440,1,.5058507,.2007212,642666,1,.5497228,.1771978,647286,1,.5873452,.2146291,669318,1,,.2524038,653218,1,,,694027,1,.3791916,.3392857,694027,1,,,723067,1,.4178317,.2857143,723067,1,,,733452,1,.4057323,.2857143,733452,1,,,,,,,,,,,,,,,,,,,805101,0,,,805101,1,,,816368,1,.537457,.3571429,816368,1,,,859643,1,.5001949,.3571429,859643,1,,,936809,1,.4587151,.3571429,936809,1,,,890604,1,.5315124,.3571429,890604,1,,,863906,1,.5746489,.3571429,863906,1,,,,,,,,,,,0
277,646692,1,.2974411,.2824519,636981,1,.3882568,.3049451,663155,1,.4717116,.2376374,711455,1,.3325389,.206044,712138,1,.4250071,.2214973,729277,1,.6705978,.1741071,739207,1,.3820728,.2936127,684678,1,.3329379,.3571429,744768,1,.3158865,.3571429,686405,1,.4546778,.2618475,686405,1,.4993073,.3155906,701826,1,.5819532,.2980769,698820,1,,,752934,1,.5912924,.2944712,752934,1,,,716905,1,.5954524,.3392857,716905,1,,,837849,1,.4955509,.3571429,837849,1,,,906384,1,.5860652,.3125,906384,1,,,895345,1,,,895345,1,,,895345,0,,,895345,1,,,896606,1,.5561745,.3451236,896606,1,,,973746,1,.5386714,.3571429,973746,1,,,968349,1,.5554172,.3303571,968349,1,,,1112289,1,.5315124,.3571429,0
