id,weight23,E23,inch_norm23,hours_norm23,weight24,E24,inch_norm24,hours_norm24,weight25,E25,inch_norm25,hours_norm25,weight26,E26,inch_norm26,hours_norm26,weight27,E27,inch_norm27,hours_norm27,weight28,E28,inch_norm28,hours_norm28,weight29,E29,inch_norm29,hours_norm29,weight30,E30,inch_norm30,hours_norm30,weight31,E31,inch_norm31,hours_norm31,weight32,E32,inch_norm32,hours_norm32,weight33,E33,inch_norm33,hours_norm33,weight34,E34,inch_norm34,hours_norm34,weight35,E35,inch_norm35,hours_norm35,weight36,E36,inch_norm36,hours_norm36,weight37,E37,inch_norm37,hours_norm37,weight38,E38,inch_norm38,hours_norm38,weight39,E39,inch_norm39,hours_norm39,weight40,E40,inch_norm40,hours_norm40,weight41,E41,inch_norm41,hours_norm41,weight42,E42,inch_norm42,hours_norm42,weight43,E43,inch_norm43,hours_norm43,weight44,E44,inch_norm44,hours_norm44,weight45,E45,inch_norm45,hours_norm45,weight46,E46,inch_norm46,hours_norm46,weight47,E47,inch_norm47,hours_norm47,weight48,E48,inch_norm48,hours_norm48,weight49,E49,inch_norm49,hours_norm49,weight50,E50,inch_norm50,hours_norm50,weight51,E51,inch_norm51,hours_norm51,weight52,E52,inch_norm52,hours_norm52,weight53,E53,inch_norm53,hours_norm53,weight54,E54,inch_norm54,hours_norm54,black
47,707001,1,.6768842,.3159341,702932,1,.5490001,.2695742,721915,1,.9317154,.3502747,734082,1,1.147259,.3571429,746666,1,1.071967,.388908,773654,1,1.065505,.4017857,758972,1,1.050741,.403331,768998,1,1.200192,.3962912,798063,1,1.360026,.373283,791239,1,.9428294,.4017857,790317,1,1.159494,.4258242,809654,1,.9790769,.4481456,808929,1,,,835454,1,1.47322,.3545673,835454,1,,,899720,1,1.302778,.5357143,899720,1,,,899885,1,1.395802,.4120879,899885,1,,,,,,,,,,,956799,1,.4360453,.7718063,956799,1,,,983318,1,1.245674,.4017857,983318,1,,,941114,1,1.203196,.4017857,941114,1,,,984267,1,1.162846,.4017857,984267,1,,,985122,1,1.146788,.4285714,985122,1,,,993375,1,1.27563,.4464286,0
60,603347,1,.9056339,.3760302,593753,1,.914027,.4077953,609375,1,1.956817,.4081388,634479,1,1.787882,.4144917,628106,1,1.916599,.4086538,628170,1,2.261177,.390625,635754,1,,.3691621,634379,1,2.541797,.3846154,635372,1,1.911931,.3571429,636940,1,1.857115,.3571429,637656,1,,,665143,1,1.570937,.3571429,665143,1,,,672628,1,1.79989,.3571429,672628,1,,,740429,1,1.091892,.4052198,740429,1,,,,,,,,,,,,,,,,,,,,,,,754354,1,,,754354,1,,,754354,1,,,754354,1,,,754354,1,,,754354,1,1.387822,.4910714,754354,1,,,,,,,,,,,,,,,0
73,589627,0,,,591664,1,.8623012,.157967,591664,1,.9772246,.3571429,595620,1,,,605891,1,,,605891,1,,,605891,1,.9412583,.4464286,605891,1,.7080746,.4035027,606086,1,,,633633,0,,,633633,0,,,658609,0,,,658609,0,,,658609,1,4.642651,.4120879,658609,1,,,693684,1,4.400817,.4464286,693684,1,,,712686,1,2.153872,.4464286,712686,1,,,734492,1,5.913668,.3571429,734492,1,,,702878,1,2.671232,.3992102,702878,1,,,734028,1,2.116209,.3571429,734028,1,,,752610,1,,,752610,1,,,752610,1,4.373922,.5357143,752610,1,,,729670,1,3.865286,.5357143,729670,1,,,772018,1,4.456116,.5357143,0
80,633645,0,,,633645,0,,,633645,0,,,,,,,622939,1,.3834886,.2206387,626546,1,.348259,.2486264,609119,1,.3117279,.2527472,596017,1,.321448,.5078984,640739,1,,,671477,1,.371453,.3125,671477,1,,,646844,1,.387554,.3317308,646844,1,,,692048,1,.4130445,.3320742,692048,1,,,709487,1,.2766726,.3159341,709487,1,,,723139,1,.3791712,.2747253,723139,1,,,732370,1,.358062,.2740385,732370,1,,,736795,1,.4246574,.2678571,736795,1,,,748719,1,.6011732,.3657281,748719,1,,,800013,1,,,800013,1,,,884706,1,.4213654,.3571429,884706,1,,,971074,1,.451109,.3308723,971074,1,,,,,,,0
88,259771,1,.908685,.2755838,260084,1,.6306449,.4498627,266505,1,.4816191,.4440247,262774,1,.5171582,.4945055,268996,1,.4324768,.3937156,267828,1,.2632392,.2290522,286299,1,.7596248,.4957074,288403,1,,,284226,1,,,285165,1,.6862719,.3811813,288982,1,.6791559,.3571429,295712,1,.8595665,.3777473,294904,1,.6177008,.3571429,307288,1,.5714201,.3571429,297341,1,,,300027,0,,,300027,1,,,315368,1,.6068201,.3571429,315368,1,,,320095,1,.7681039,.3571429,320095,1,,,324192,0,,,324192,0,,,333341,0,,,333341,0,,,315920,1,.5494874,.3296703,315920,1,,,318977,1,.6767977,.3571429,318977,1,,,332821,1,1.071846,.1923077,332821,0,,,337723,1,.567933,.2884615,1
103,642389,1,.8798676,.2395261,644588,0,,,629448,1,.4440733,.276614,660463,1,.6580419,.2587569,666060,1,.4694668,.2335165,690570,1,.903724,.3571429,688039,1,1.053397,.3571429,698531,1,1.067556,.3502747,712389,1,1.101409,.345467,713438,1,1.081419,.3442651,700157,1,1.441546,.3303571,724118,1,1.245783,.3794643,702348,1,1.24193,.3861607,718775,1,,,757476,1,1.242729,.3502747,757476,1,,,775452,1,1.259923,.3571429,775452,1,,,819190,1,1.385672,.364011,819190,1,,,852835,1,1.398565,.3571429,852835,1,,,885012,1,1.391042,.3571429,885012,1,,,889296,1,1.437121,.3571429,889296,1,,,861432,1,1.353595,.3571429,861432,1,,,942167,1,1.365917,.3571429,942167,1,,,994220,1,1.363039,.4807692,994220,1,,,0
139,544261,1,.0775473,.3468406,542819,1,,,555922,1,1.379091,.3253777,538390,1,.7367135,.4035027,546529,1,,.3056319,549694,1,.5825006,.520261,534404,1,.6718001,.4378434,522909,1,,,567502,0,,,567502,1,,,567502,1,,,567502,1,.5999634,.5357143,567502,1,,,607161,1,.7433263,.5357143,607161,1,,,622461,1,1.398565,.4464286,622461,1,,,634439,1,,.5357143,634439,1,,,642538,1,3.296925,.2747253,642538,1,,,,,,,,,,,656882,1,,,656882,1,,,701883,1,.9785923,.5357143,701883,1,,,,,,,,,,,,,,,,,,,,,,,0
148,517304,1,,.3890797,525706,1,.709586,.3839286,519090,1,.7928553,.3930288,522562,1,.8097646,.3671016,531860,1,.8368011,.364011,533060,1,.8207666,.3956044,532830,1,.9056515,.4175824,531573,1,.9167839,.40625,531744,1,,,555911,1,.7468575,.4196429,555911,1,,,565687,1,.8610771,.3839286,565687,1,,,577824,1,.8188388,.375,577824,1,,,608597,1,.7044622,.4017857,608597,1,,,,,,,625268,1,,,644400,1,.5119156,.3214286,644400,1,,,616663,1,.5839039,.4285714,616663,1,,,643992,1,.6893712,.4285714,643992,1,,,640792,1,.7186536,.4285714,640792,1,,,660295,1,.7677402,.3956044,660295,1,,,640169,1,.6871834,.4344094,640169,1,,,,,,,0
178,597604,1,.3383004,.5271291,595890,1,.7547754,.6378778,581997,1,.6529461,.8289835,601599,1,.7479483,.7472528,642652,1,,.5597528,609027,1,.3517488,.6881868,653600,1,,.6016483,670956,1,,.5357143,654012,1,,.4927885,670521,1,,.4266827,637266,1,,.4017857,674528,1,,.4584478,648667,1,.0637408,.4802541,648667,1,,,689650,1,.6190883,.1875,689650,1,,,679494,1,1.285636,.3571429,679494,1,,,753421,1,1.203481,.3125,753421,1,,,777598,1,.6659832,.3125,777598,1,,,732556,1,.7852658,.3571429,732556,1,,,819041,1,1.162377,.3571429,819041,1,,,815067,0,,,815067,1,,,760761,1,6.008572,.3571429,760761,1,,,,,,,,,,,0
185,528255,1,.9158062,.2833104,527171,1,.5235132,.3571429,525241,1,.4257238,.3351648,521824,1,.4987681,.3392857,535167,0,,,539888,1,.6992204,.2403846,536290,1,.5355403,.2953297,532543,1,,,550488,1,.6760443,.3434066,550488,1,,,569088,1,.6685307,.3571429,569088,1,,,583876,1,.6194386,.3571429,583876,1,,,597769,1,.5818029,.2146291,597769,1,,,605935,1,.8525743,.1785714,605935,1,,,630938,1,.5225894,.4910714,630938,1,,,623643,1,1.174443,.3571429,623643,1,,,669515,0,,,669515,1,,,684898,1,.7472886,.4910714,684898,1,,,685887,1,.9779829,.4464286,685887,1,,,702799,1,1.378138,.3519917,702799,1,,,719297,1,1.05069,.4464286,719297,1,,,0
202,501397,1,.5465633,.5415522,517218,1,,,545001,0,,,545001,0,,,545001,1,.3785271,.3427198,543715,1,.285129,.4371566,554034,1,.3009172,.5927197,559945,1,.8451289,.4498627,528243,1,.8456193,.4479739,534482,1,.387928,.3791209,533394,1,.1516013,.4711538,546212,1,,,556845,1,.5681045,.2043269,556845,1,,,582111,1,.2751821,.5673077,582111,1,,,598708,1,.3964407,.4017857,598708,1,,,641100,1,1.077413,.4017857,641100,1,,,653148,1,.731948,.3612638,653148,1,,,679461,1,.7749181,.5357143,679461,1,,,655331,1,.6483608,.625,655331,0,,,650895,1,.4014942,.1540179,650895,1,,,735338,1,.6360849,.1339286,735338,1,,,731854,1,.3848724,.2630495,731854,1,,,0
214,552608,1,1.132565,.4352679,553673,1,.9981652,.4120879,549153,1,.2103982,.3956044,553052,1,.2815902,.2403846,549824,1,.9445785,.34375,553776,1,.8135876,.3873627,572626,1,3.032025,.21875,558851,1,,,593765,1,.717928,.714114,593765,1,,,618610,1,.7999512,.8035714,618610,1,,,627494,1,1.238877,.5357143,627494,1,,,647600,1,1.200546,.5408654,647600,1,,,654573,1,1.00514,.6696429,654573,1,,,688793,1,1.444806,.4910714,688793,1,,,698432,1,1.505603,.3777473,698432,1,,,735455,1,2.013605,.5357143,735455,1,,,801474,1,1.433485,.5714286,801474,1,,,761944,1,1.546218,.4910714,761944,1,,,739103,1,1.709699,.4910714,739103,1,,,,,,,,,,,0
218,719791,1,.8814743,.3571429,732875,1,1.081312,.4344094,724303,1,1.251781,.3846154,727549,1,1.250962,.4326923,749984,1,1.35346,.4129464,736469,1,1.615633,.3657281,770571,1,2.236228,.3571429,773848,1,2.074975,.3571429,764023,1,,,756614,1,,,754334,1,2.10774,.4361264,772084,1,2.5305,.3863324,774935,1,2.969317,.3571429,785609,1,2.904329,.3571429,806127,1,,,806871,1,3.341099,.4017857,806871,1,,,862723,1,3.043769,.4464286,862723,1,,,871918,1,4.761693,.4017857,871918,1,,,896710,1,4.889796,.4017857,896710,1,,,975653,1,5.30357,.4017857,975653,1,,,1009219,1,5.256594,.4017857,1009219,1,,,1005106,1,4.901974,.4464286,1005106,1,,,982683,1,5.177228,.4144917,982683,1,,,1131495,1,5.04704,.4464286,0
260,571472,1,.9932584,.3571429,562385,1,1.141504,.3571429,577181,1,.8670414,.4653159,600959,1,1.336057,.3883929,594923,1,1.116828,.3571429,594983,1,1.098695,.3571429,602167,1,1.074014,.3571429,600864,1,1.121294,.3571429,601805,1,1.176573,.3571429,603290,1,1.14284,.3571429,603968,1,,,630003,1,1.083405,.3571429,630003,1,,,637092,1,1.13136,.3571429,637092,1,,,701312,1,1.11499,.3571429,701312,1,,,697079,1,1.118852,.3571429,697079,1,,,,,,,,,,,751315,1,1.373719,.3571429,751315,1,,,704581,1,1.273972,.3571429,704581,1,,,712920,1,1.212011,.3571429,712920,1,,,714501,1,1.192659,.3571429,714501,1,,,783543,1,1.181139,.4017857,783543,1,,,789825,1,,,0
261,528231,1,.5776515,.3957761,536812,1,.6538329,.3571429,530056,1,.6980175,.3571429,533600,1,1.197332,.3674451,543095,1,.6686729,.3880495,544320,1,.8485464,.3571429,544086,1,.8203923,.3777473,542802,1,.7906123,.3871909,542977,1,,,567655,1,.8531811,.3571429,567655,1,,,577637,1,.861376,.3571429,577637,1,,,590030,1,1.486653,.3571429,590030,1,,,621453,1,,.3839286,621453,1,,,638477,1,1.396028,.4017857,638477,1,,,,,,,,,,,629689,1,,.3571429,629689,1,,,657596,1,1.827635,.3571429,657596,1,,,654329,1,1.871558,.3571429,654329,1,,,674243,1,1.860294,.3571429,674243,1,,,653692,1,1.838277,.3992102,653692,1,,,,,,,0
