id,weight23,E23,inch_norm23,hours_norm23,weight24,E24,inch_norm24,hours_norm24,weight25,E25,inch_norm25,hours_norm25,weight26,E26,inch_norm26,hours_norm26,weight27,E27,inch_norm27,hours_norm27,weight28,E28,inch_norm28,hours_norm28,weight29,E29,inch_norm29,hours_norm29,weight30,E30,inch_norm30,hours_norm30,weight31,E31,inch_norm31,hours_norm31,weight32,E32,inch_norm32,hours_norm32,weight33,E33,inch_norm33,hours_norm33,weight34,E34,inch_norm34,hours_norm34,weight35,E35,inch_norm35,hours_norm35,weight36,E36,inch_norm36,hours_norm36,weight37,E37,inch_norm37,hours_norm37,weight38,E38,inch_norm38,hours_norm38,weight39,E39,inch_norm39,hours_norm39,weight40,E40,inch_norm40,hours_norm40,weight41,E41,inch_norm41,hours_norm41,weight42,E42,inch_norm42,hours_norm42,weight43,E43,inch_norm43,hours_norm43,weight44,E44,inch_norm44,hours_norm44,weight45,E45,inch_norm45,hours_norm45,weight46,E46,inch_norm46,hours_norm46,weight47,E47,inch_norm47,hours_norm47,weight48,E48,inch_norm48,hours_norm48,weight49,E49,inch_norm49,hours_norm49,weight50,E50,inch_norm50,hours_norm50,weight51,E51,inch_norm51,hours_norm51,weight52,E52,inch_norm52,hours_norm52,weight53,E53,inch_norm53,hours_norm53,weight54,E54,inch_norm54,hours_norm54,black
13,980815,1,.7528906,.3983516,984174,1,.4538873,.5048077,961056,1,.4950275,.5082418,1008410,1,.5669565,.5273008,1016956,1,.6465003,.4917583,1054379,1,.0575518,.5140797,1050514,1,.6296167,.4532967,1066534,1,.7212849,.5357143,1087692,1,.9264358,.5133929,1089293,1,1.01936,.5091003,1069016,1,.8183817,.5554602,1105599,1,.9090317,.5315934,1072361,1,.867712,.4821429,1097442,1,,,1156532,1,1.408426,.3571429,1156532,1,,,1183978,1,1.069649,.3571429,1183978,1,,,1250757,1,.8495159,.625,1250757,1,,,1302127,0,,,1302127,1,,,1351256,1,.9010948,.3379121,1351256,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
24,734117,0,,,734117,1,.4015565,.2730083,753432,1,.6735831,.359375,784470,1,.8037661,.3873627,776590,1,.9306901,.4017857,776670,1,.8878343,.4017857,786046,1,,,785574,1,.2898761,.4107143,785574,1,.8246914,.4076236,787513,1,1.01363,.3523352,788397,1,,,822382,1,.7536727,.4107143,822382,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
52,743991,1,.7628714,.3612638,746538,1,.8021157,.418956,729003,1,.8633115,.4285714,764923,1,.8975542,.4426511,771405,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1151468,1,,,1151468,1,,,1151468,1,,,1151468,1,,,1151468,1,,,1151468,1,4.588219,.4910714,1151468,1,,,0
126,675737,1,1.000263,.4696085,673799,1,1.173218,.4103709,658088,1,.7551098,.4017857,680254,1,.8080267,.3863324,726674,1,.9276984,.4017857,688653,1,.702854,.5049794,739053,1,1.515963,.4888393,758678,1,1.578922,.4960508,739520,1,1.761705,.5013736,758187,1,1.299378,.4601648,720584,1,.9477271,.4910714,762718,1,,.5125343,733476,1,.930454,.5044643,733476,1,,,779817,1,.8542228,.4642857,779817,1,,,768333,1,.7147263,.5267857,768333,1,,,851925,1,.8160072,.4120879,851925,1,,,,,,,,,,,,,,,,,,,926125,1,1.105478,.5803571,926125,1,,,921632,1,.8625854,.5357143,921632,1,,,860226,1,.532752,.5803571,860226,1,,,817042,1,.6443458,.6610577,817042,1,,,0
173,438124,1,.1615574,.296875,453098,1,,,459172,1,.5271211,.3691621,459172,1,.2042978,.4575893,446740,1,.5283653,.3375687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
194,528255,1,1.491983,.2173764,527171,1,1.01785,.3245192,525241,1,.7775559,.3914835,521824,1,1.023536,.3416896,535167,1,1.039036,.3125,539888,1,,,569088,1,,,569088,1,,,569088,1,,,569088,1,,,569088,1,2.767062,.4910714,569088,1,,,583876,1,,.5535714,583876,1,,,597769,1,,.4792239,597769,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
215,529564,1,.7340614,.3125,537491,1,.9444468,.3305288,547640,1,1.144233,.3820398,572155,1,2.391441,.3339629,584574,1,2.3714,.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
281,598684,1,.6100603,.3535371,589165,1,.652288,.3571429,604666,1,.677793,.3571429,629576,1,.7264809,.3571429,623252,1,.8376212,.3571429,623316,1,.1243845,.3823833,630841,1,1.169219,.3956044,629476,1,1.368464,.379636,630462,1,1.431305,.4036745,632018,1,1.366439,.4107143,632728,1,,,660003,1,1.328704,.4732143,660003,1,,,667430,1,1.645614,.4464286,667430,1,,,734707,1,1.739485,.4375,734707,1,,,730273,1,1.806479,.4285714,730273,1,,,749732,1,1.738803,.4285714,749732,1,,,787092,1,1.859804,.4017857,787092,1,,,738133,1,1.831335,.4464286,738133,1,,,746868,1,1.843667,.4285714,746868,1,,,748525,1,2.120283,.4017857,748525,1,,,820855,1,1.955966,.4464286,820855,1,,,827436,1,2.762565,.4052198,0
320,585363,1,.4788501,.0927198,594125,1,,,632441,1,.8070589,.7321429,632441,1,.5780276,.7445055,646169,1,1.015039,.7300825,633814,1,1.949361,.4017857,645097,1,1.877437,.470467,661743,1,1.262655,.728022,655705,1,1.673611,.5841346,636338,1,1.833782,.5782967,656231,1,1.623926,.6387362,672677,1,,,689678,1,.8291361,.875,689678,1,,,716541,1,1.206784,.6696429,716541,1,,,793707,1,1.061895,.75,793707,1,,,837263,1,1.259314,.5288461,837263,1,,,887455,1,1.777799,.3605769,887455,1,,,865389,1,2.066448,.4017857,865389,1,,,831173,1,1.592465,.4464286,831173,1,,,821770,1,1.539061,.4464286,821770,1,,,837586,1,2.75229,.3571429,837586,1,,,852983,1,1.133893,.4464286,852983,1,,,0
323,715161,1,.901641,.2541209,711045,1,.7406489,.1598558,730247,1,1.194207,.2970467,742555,1,.9280156,.4134615,755284,1,1.788982,.4464286,782584,1,,.4052198,767732,1,,.4378434,777874,1,,.4271978,807274,1,,.3945742,800371,1,1.010174,.4285714,799439,1,.8804945,.4175824,818999,1,,.375,818266,1,,,845097,1,1.083404,.4464286,845097,1,,,910104,1,1.542763,.4464286,910104,1,,,910272,1,1.581545,.4196429,910272,1,,,994668,1,,,994668,1,,,994668,1,,,994668,1,,,994668,1,1.69073,.3571429,994668,1,,,951977,1,,.4464286,951977,1,,,995627,1,2.308592,.4464286,995627,1,,,996492,1,.183486,.4285714,996492,1,,,1004841,1,1.300642,.4378434,0
