id,weight23,E23,inch_norm23,hours_norm23,weight24,E24,inch_norm24,hours_norm24,weight25,E25,inch_norm25,hours_norm25,weight26,E26,inch_norm26,hours_norm26,weight27,E27,inch_norm27,hours_norm27,weight28,E28,inch_norm28,hours_norm28,weight29,E29,inch_norm29,hours_norm29,weight30,E30,inch_norm30,hours_norm30,weight31,E31,inch_norm31,hours_norm31,weight32,E32,inch_norm32,hours_norm32,weight33,E33,inch_norm33,hours_norm33,weight34,E34,inch_norm34,hours_norm34,weight35,E35,inch_norm35,hours_norm35,weight36,E36,inch_norm36,hours_norm36,weight37,E37,inch_norm37,hours_norm37,weight38,E38,inch_norm38,hours_norm38,weight39,E39,inch_norm39,hours_norm39,weight40,E40,inch_norm40,hours_norm40,weight41,E41,inch_norm41,hours_norm41,weight42,E42,inch_norm42,hours_norm42,weight43,E43,inch_norm43,hours_norm43,weight44,E44,inch_norm44,hours_norm44,weight45,E45,inch_norm45,hours_norm45,weight46,E46,inch_norm46,hours_norm46,weight47,E47,inch_norm47,hours_norm47,weight48,E48,inch_norm48,hours_norm48,weight49,E49,inch_norm49,hours_norm49,weight50,E50,inch_norm50,hours_norm50,weight51,E51,inch_norm51,hours_norm51,weight52,E52,inch_norm52,hours_norm52,weight53,E53,inch_norm53,hours_norm53,weight54,E54,inch_norm54,hours_norm54,black
87,171792,1,.6587894,.3674451,171074,1,,.3969781,170066,1,.4201032,.4450549,174487,0,,,180947,1,.2613243,.3021978,181312,1,.411885,.3284684,177099,1,.9191631,.182864,172744,0,,,175031,1,,,176890,1,,,176890,1,,,187904,1,.2314145,.7142857,187904,1,,,199161,1,.2357915,.5254121,199161,1,,,214920,1,.1631659,.7142857,214920,1,,,224954,1,,.2129121,224954,1,,,212330,1,.3592802,.3571429,212330,1,,,201953,1,.4458903,.4464286,201953,1,,,204376,1,.45488,.3928571,204376,1,,,221310,1,.4403665,.3571429,221310,1,,,218204,1,,.5803571,218204,1,,,235688,1,.3482721,.2678571,235688,1,,,221606,1,,.3214286,1
168,135794,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178561,0,,,178561,0,,,178561,1,,,178561,1,,,178561,1,,,178561,1,,.3365385,178561,0,,,179956,0,,,179956,0,,,183734,1,.2803921,.3159341,183734,0,,,182848,1,.4995902,.1742788,1
199,640160,1,.7554209,.34375,630549,1,.7251816,.3571429,656458,1,.6164161,.3571429,704270,1,.8633223,.3571429,704945,0,,,721912,1,.6366912,.6112638,731741,1,,,677763,1,,,679473,1,.7884526,.3434066,679473,1,1.04313,.3631525,679473,1,.602183,.4361264,694738,1,,.4565591,691762,1,,,745330,1,.7222697,.4017857,745330,1,,,709664,1,1.021366,.4945055,709664,1,,,829387,1,.8259181,.5357143,829387,1,,,897230,1,.9506583,.3940591,897230,1,,,918648,1,3.365425,.1071429,918648,1,,,886303,1,.6834868,.4196429,886303,1,,,887551,1,.6635272,.5357143,887551,1,,,963911,1,.8657219,.3571429,963911,1,,,958570,1,,.1717033,958570,0,,,1101055,1,.9425417,.3423764,0
223,218443,1,.3548539,.3866758,238214,1,.437829,.2764423,236648,1,.7722728,.3023695,247611,1,.4109085,.364011,235717,1,.6850376,.3818681,231670,1,.7581275,.3571429,223055,1,.7424781,.3571429,218983,1,.719135,.3798077,218983,1,.6035625,.4395604,258893,1,,,249327,1,1.16466,.3571429,249327,1,,,262035,1,1.157072,.3571429,262035,1,,,262313,1,1.337987,.3571429,262313,1,,,259773,1,1.243169,.4017857,259773,1,,,311413,1,1.323734,.3571429,311413,1,,,294101,1,1.014438,.3571429,294101,1,,,271024,1,.9355733,.3571429,271024,1,,,288535,1,1.611739,.2472527,288535,1,,,311959,1,1.141691,.4017857,311959,1,,,334979,1,.9397756,.4107143,334979,1,,,336889,1,1.105385,.4107143,336889,1,,,1
310,636390,1,.5186102,.2853709,656469,1,.6871321,.3097527,668505,1,.5755482,.3571429,682667,1,.7531033,.3571429,691732,1,.774119,.418956,690100,1,.5738642,.4344094,703197,1,.8323446,.3571429,710698,1,.9476594,.3571429,670462,1,.7576307,.3571429,678381,1,.8824297,.3571429,677000,1,.8571302,.3571429,693269,1,,,706764,1,.5417023,.3571429,706764,1,,,738833,1,,.3571429,738833,1,,,759898,1,,.5,759898,1,,,813703,1,,.3571429,813703,1,,,828995,1,1.121808,.3571429,828995,1,,,862393,1,1.479389,.3571429,862393,1,,,831766,1,2.488227,.3571429,831766,1,,,826136,1,.577148,.3571429,826136,1,,,933313,1,.5688067,.3571429,933313,1,,,928891,1,1.70084,.4464286,928891,1,,,0
316,692279,1,.6175088,.3571429,693613,1,.6107653,.3571429,687951,1,.5992882,.3571429,692836,1,.6001843,.3571429,688791,1,.5454941,.3571429,693743,1,.6952477,.3021978,717356,1,.5142781,.3571429,700100,1,,,743839,0,,,743839,1,,,774963,1,.6428179,.3571429,774963,1,,,786093,1,.7928814,.3571429,786093,1,,,811281,1,.6992823,.3571429,811281,1,,,820016,0,,,820016,0,,,862884,0,,,862884,0,,,874960,1,,.1644918,874960,1,,,921341,0,,,921341,0,,,1004045,0,,,1004045,0,,,954524,1,.4808841,.2232143,954524,1,,,925910,1,.5572352,.2232143,925910,1,,,,,,,,,,,0
318,593202,1,.4237308,.4266827,602837,1,.5320705,.4388736,595251,1,.4426453,.2815934,599231,1,.6756203,.2815934,609893,1,.5128147,.3519917,611270,1,.5755358,.3949176,611007,1,.5608331,.4120879,609564,1,.6903775,.3695055,609761,1,,,637474,1,.5301086,.4653159,637474,1,,,648685,1,.6324794,.3629808,648685,1,,,662602,1,.2863183,.8035714,662602,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
324,537267,0,,,538315,0,,,559516,1,.4035526,.2893201,550615,1,1.149402,.206044,548570,1,,.2403846,559098,0,,,551695,0,,,547946,0,,,553459,0,,,571793,0,,,584048,1,.4506963,.1717033,584048,1,,,615565,1,.5142543,.3571429,615565,1,,,648790,0,,,648790,0,,,680129,0,,,680129,1,,,721433,0,,,721433,1,,,710430,1,.3510614,.4945055,710430,0,,,689533,0,,,689533,1,,,705532,1,.55736,.4807692,705532,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
351,543810,1,.5425093,.3181662,540680,1,.4879687,.3336195,555281,1,.2918047,.2431319,564639,1,.7807436,.3159341,574319,1,.7037318,.5159684,595078,1,.6480266,.440419,583784,1,.6913698,.4326923,591496,1,.8317734,.5003434,613852,1,.6863272,.4931319,608603,1,.7030813,.4464286,607894,1,.8787332,.4781937,622767,1,.5842354,.5588942,622210,1,,,642612,1,2.171714,.6181318,642612,1,,,692044,1,.359978,.8928571,692044,1,,,692171,1,.3559205,.7458791,692171,1,,,744419,1,3.788783,.518544,744419,1,,,735948,1,,.2197802,735948,1,,,756346,1,.824231,.3571429,756346,1,,,723884,1,.7962326,.3571429,723884,1,,,757076,0,,,757076,0,,,,,,,,,,,,,,,0
362,641206,0,,,640199,0,,,654243,0,,,654243,0,,,682355,1,.2648689,.2142857,716333,1,.1148815,.2367788,735728,0,,,774893,1,.3695577,.3475275,793423,1,.3267992,.3928571,751023,1,.3795491,.3928571,751484,1,.3819354,.3928571,735618,0,,,735618,0,,,700003,0,,,716946,0,,,716100,0,,,716100,1,,,772586,1,.4084762,.5803571,772586,1,,,793379,1,.3840519,.7142857,793379,1,,,864227,1,.5244617,.7142857,864227,1,,,866029,1,.5532206,.6517857,866029,1,,,841630,0,,,841630,1,,,897695,1,.6031007,.625,897695,1,,,870485,1,.5776976,.625,870485,1,,,948908,1,.7687688,.3835852,0
